NAME_1,NAME_2,Province,LGU,Class,Overall_Score,Population,Revenue,Provincial_Score,,Economic,Government,Infrastructure,Resiliency,Innovation
Marinduque,Boac,Marinduque,Boac,First Class Municipality,32.6332,"54,730","311,612,065.51",9.6398,,3.3164,9.5159,2.9008,11.2846,5.5762
Marinduque,Buenavista,Marinduque,Buenavista,Fourth Class Municipality,28.394,"23,988","7,968,835.59",1.5844,,3.3665,7.1394,2.6477,11.3446,3.8958
Marinduque,Gasan,Marinduque,Gasan,Third Class Municipality,29.5497,"34,828","197,682,890.09",5.5465,,3.9743,7.2081,2.8991,11.3047,4.1635
Marinduque,Mogpog,Marinduque,Mogpog,Third Class Municipality,31.765,"34,043","24,890,129.96",2.7604,,4.5074,7.8167,3.1645,10.9703,5.3061
Marinduque,SantaCruz,Marinduque,Santa Cruz,First Class Municipality,30.2715,"56,408","306,257,893.80",8.9573,,3.2436,9.2839,2.7497,10.5049,4.4769
Marinduque,Torrijos,Marinduque,Torrijos,Third Class Municipality,31.0751,"30,476","23,507,719.02",2.4394,,4.1793,8.0934,3.1337,10.925,4.7437
